epoch,phase,train_loss,val_loss,train_miou,val_miou,train_damage_f1,val_damage_f1,train_pixel_accuracy,val_pixel_accuracy,train_mean_dice,val_mean_dice,val_f1_nodmg,val_f1_minor,val_f1_major,val_f1_destroyed,lr,epoch_time_sec
1,1,2.8218216939696243,2.6413100915295735,0.22135791182518005,0.2898528575897217,0.12654045224189758,0.20534241199493408,0.8106675744056702,0.910689115524292,0.2806597352027893,0.3556983470916748,0.5317422151565552,0.0,0.0,0.28962740302085876,0.0002967330663097039,641.5610716342926
2,1,2.6768996697451386,2.589587832348687,0.2832876741886139,0.31002652645111084,0.19404777884483337,0.23327016830444336,0.9174498319625854,0.924183189868927,0.3474360406398773,0.37967783212661743,0.568491518497467,0.0,0.012003147974610329,0.352586030960083,0.00028707504591756876,611.9542081356049
3,1,2.640854936731713,2.5487179057938714,0.3005739748477936,0.33132559061050415,0.22091931104660034,0.2695411741733551,0.9245685935020447,0.9094386696815491,0.369746595621109,0.4069940149784088,0.5022096037864685,0.0,0.0006378916441462934,0.5753172039985657,0.0002714480406590546,618.1087300777435
4,1,2.622461000084877,2.5451958051749637,0.3107448220252991,0.35439640283584595,0.23897095024585724,0.30452513694763184,0.9272134900093079,0.932206392288208,0.38444608449935913,0.4375270903110504,0.5775113105773926,0.0,0.09467471390962601,0.5459145903587341,0.0002505350256506493,622.8603994846344
5,1,2.5996237862323013,2.543449183021273,0.3290790915489197,0.38434743881225586,0.27354201674461365,0.360293447971344,0.9296596050262451,0.933318018913269,0.4123554229736328,0.48217588663101196,0.5876991748809814,0.0005221239407546818,0.28042981028556824,0.5725226402282715,0.00022524999999999995,614.9802565574646
6,1,2.584598087732281,2.549543271745954,0.34095093607902527,0.36664891242980957,0.29612141847610474,0.33805063366889954,0.9307918548583984,0.9326564073562622,0.4305020868778229,0.4642631411552429,0.6246413588523865,0.025018423795700073,0.3670375943183899,0.3355051577091217,0.0001966980406590546,622.4480431079865
7,1,2.5794301946248326,2.5046927886349812,0.3510293960571289,0.3586655259132385,0.31363528966903687,0.33623015880584717,0.9333205819129944,0.911344051361084,0.44476908445358276,0.4603630602359772,0.5251113772392273,0.0004793966072611511,0.3423973023891449,0.47693249583244324,0.00016612700525851418,660.4939460754395
8,1,2.567704404890537,2.5067901475088936,0.36315372586250305,0.4004570543766022,0.3335620164871216,0.38748249411582947,0.9350930452346802,0.9376847147941589,0.4608626365661621,0.5043076276779175,0.6215713620185852,0.001679637935012579,0.4140069782733917,0.512671947479248,0.00013487299474148582,635.3849811553955
9,1,2.556288882344961,2.5042207675320762,0.3727490305900574,0.4057050347328186,0.34949567914009094,0.39475202560424805,0.9360151886940002,0.9372645616531372,0.47367018461227417,0.510104775428772,0.6133071780204773,0.004936801735311747,0.40256819128990173,0.5581960082054138,0.00010430195934094536,619.1902987957001
10,1,2.544112940877676,2.488482869522912,0.38727861642837524,0.39466094970703125,0.3730489909648895,0.3847454786300659,0.9382169246673584,0.9314008355140686,0.4926886558532715,0.5013984441757202,0.5964214205741882,0.025584910064935684,0.41010555624961853,0.5068699717521667,7.575000000000003e-05,625.0865619182587
