epoch,train_loss,val_loss,train_miou,val_miou,train_pixel_accuracy,val_pixel_accuracy,train_mean_dice,val_mean_dice,lr,epoch_time_sec
1,1.8748709916961996,1.5813041946717672,0.22840818762779236,0.31501367688179016,0.8350393772125244,0.929338276386261,0.2873498797416687,0.38585180044174194,9.05463412215599e-05,754.1675727367401
2,1.4386327137846988,1.4323445816125189,0.30501800775527954,0.3464565575122833,0.9251381158828735,0.9391159415245056,0.3831380605697632,0.4320594370365143,6.57963412215599e-05,1526.5877327919006
3,1.3034026417257318,1.4005014679261616,0.338176965713501,0.3276365399360657,0.9335939884185791,0.9336444139480591,0.4315432012081146,0.41016650199890137,3.52036587784401e-05,679.6502687931061
4,1.2285210358718508,1.4369814072336469,0.35755833983421326,0.33709263801574707,0.9372331500053406,0.9406289458274841,0.45923012495040894,0.4132278561592102,1.0453658778440105e-05,707.8453459739685
5,1.1851753786825185,1.490765243768692,0.3748722970485687,0.34914714097976685,0.9407255053520203,0.948437511920929,0.4828537106513977,0.4257109761238098,1e-06,710.8891475200653
6,1.1606456654952433,1.3490580863186292,0.3831099271774292,0.3499944806098938,0.9414114952087402,0.9328551292419434,0.4945647716522217,0.44331321120262146,1.0453658778440102e-05,1668.8040535449982
7,1.1486872033702311,1.4671360922711236,0.3854547441005707,0.3584558069705963,0.9424548745155334,0.9433013796806335,0.49699506163597107,0.4468083381652832,3.520365877844009e-05,1919.211596250534
8,1.1475604919782436,1.4255337896091598,0.38479799032211304,0.3332193195819855,0.9421855807304382,0.9338541030883789,0.49612170457839966,0.41985002160072327,6.579634122155988e-05,1643.934327840805
9,1.1561044324663612,1.4372865615146502,0.3785848915576935,0.34655773639678955,0.9391063451766968,0.9375023245811462,0.48919230699539185,0.4328182637691498,9.054634122155989e-05,1015.3084976673126
10,1.1680928743700196,1.4786485401647431,0.37429100275039673,0.3232477307319641,0.9378567934036255,0.9356552362442017,0.48348355293273926,0.4015832543373108,9.999999999999998e-05,908.7427108287811
11,1.1676642849222791,1.5824108570814133,0.3751024603843689,0.3560860753059387,0.9364416599273682,0.9485613107681274,0.48553282022476196,0.4477106034755707,9.054634122155992e-05,939.6234622001648
12,1.1306003834744445,1.3097980414118087,0.38744035363197327,0.33776894211769104,0.9386586546897888,0.9301419854164124,0.5012190937995911,0.42660728096961975,6.57963412215599e-05,925.64195561409
13,1.0944943053746874,1.517495582997799,0.40219753980636597,0.3393542170524597,0.9410707354545593,0.9463966488838196,0.5199370980262756,0.4171697497367859,3.5203658778440106e-05,928.4650440216064
