epoch,train_loss,val_loss,train_miou,val_miou,train_pixel_accuracy,val_pixel_accuracy,train_mean_dice,val_mean_dice,lr,epoch_time_sec
1,1.8740211283857133,1.5881528102925846,0.2387363165616989,0.31034570932388306,0.8477810621261597,0.933501124382019,0.3003414273262024,0.3770208954811096,9.05463412215599e-05,3675.6780862808228
2,1.4043320802877715,1.4278841859527998,0.31892669200897217,0.35934382677078247,0.935126543045044,0.9443680047988892,0.39728206396102905,0.4431963860988617,6.57963412215599e-05,2468.5274658203125
3,1.3203130112049994,1.387860102525779,0.32794681191444397,0.33908846974372864,0.9305959939956665,0.9293742775917053,0.4176476001739502,0.4296296536922455,3.52036587784401e-05,819.6417694091797
4,1.2273968333056484,1.4656947921429362,0.35400909185409546,0.35598093271255493,0.9368442296981812,0.9469932317733765,0.45314860343933105,0.43876853585243225,1.0453658778440105e-05,720.2772791385651
5,1.1827283779283142,1.3964675458414213,0.36868786811828613,0.34739458560943604,0.939362645149231,0.9442806839942932,0.4734249711036682,0.4324762225151062,1e-06,668.2841320037842
