epoch,phase,train_loss,val_loss,train_miou,val_miou,train_damage_f1,val_damage_f1,train_pixel_accuracy,val_pixel_accuracy,train_mean_dice,val_mean_dice,val_f1_nodmg,val_f1_minor,val_f1_major,val_f1_destroyed,lr,epoch_time_sec
1,1,2.8844500082066893,2.875875064730644,0.2667766809463501,0.29718834161758423,0.1571488380432129,0.21495014429092407,0.9551305174827576,0.9572630524635315,0.32128748297691345,0.36772996187210083,0.3575989007949829,0.07835736125707626,0.00015977844304870814,0.42368456721305847,0.0002967330663097039,1380.2105321884155
2,1,2.810640573314445,2.862216201424599,0.3403339982032776,0.35647663474082947,0.29078271985054016,0.3112921118736267,0.9745261073112488,0.9745498895645142,0.4301980435848236,0.44656744599342346,0.5559768080711365,0.22275227308273315,0.023405596613883972,0.4430338144302368,0.00028707504591756876,1365.6473536491394
3,1,2.7886091581132013,2.829254823923111,0.3763209879398346,0.3568463921546936,0.35388171672821045,0.3261488080024719,0.9780013561248779,0.975318431854248,0.4810294210910797,0.45854130387306213,0.5357645750045776,0.24398140609264374,0.22941574454307556,0.2954334616661072,0.0002714480406590546,1354.032300233841
4,1,2.787213708579634,2.8237075418233872,0.3944447338581085,0.4133053421974182,0.38483402132987976,0.41627028584480286,0.9791573286056519,0.9825816750526428,0.5058991312980652,0.5313764810562134,0.603897213935852,0.34737586975097656,0.27814409136772156,0.43566396832466125,0.00022524999999999992,1349.5933678150177
5,1,2.768300026327699,2.8237380623817443,0.421381413936615,0.3924352824687958,0.42820096015930176,0.37211787700653076,0.9809144139289856,0.9805223345756531,0.5407587289810181,0.49584466218948364,0.6291543245315552,0.3490758240222931,0.10245013236999512,0.4077911972999573,0.0001891934472428268,1368.3699612617493
6,1,2.7590436220543353,2.811660298705101,0.4379046559333801,0.39876589179039,0.4537792503833771,0.39069420099258423,0.9820693731307983,0.9813519716262817,0.5613358020782471,0.5107868909835815,0.6278889775276184,0.31021377444267273,0.30655479431152344,0.31811925768852234,0.00015049999999999994,1352.7547459602356
7,1,2.7601159520950196,2.8118365198373794,0.4408251643180847,0.40746182203292847,0.4586827754974365,0.4053339660167694,0.9820942878723145,0.9776751399040222,0.5652583241462708,0.5221087336540222,0.5575553774833679,0.3690796196460724,0.1787005364894867,0.5160002708435059,0.00011180655275717313,1391.1023557186127
8,1,2.7584938963690955,2.8049029439687727,0.45171990990638733,0.4433812201023102,0.4749206304550171,0.46355515718460083,0.9825983047485352,0.984251081943512,0.5782942771911621,0.5693624019622803,0.633479654788971,0.3912369906902313,0.37500855326652527,0.45449545979499817,7.575000000000001e-05,1340.6899523735046
9,1,2.751854708842243,2.8056417793035506,0.4633358120918274,0.41834408044815063,0.4923330843448639,0.4193021059036255,0.9831390976905823,0.982142448425293,0.5922735333442688,0.5337479114532471,0.6244692802429199,0.3970516622066498,0.1971198469400406,0.4585675597190857,4.478753621261114e-05,1342.9547731876373
10,1,2.7474952793944762,2.8047900915145876,0.47175702452659607,0.46350234746932983,0.5043288469314575,0.49048763513565063,0.9835878014564514,0.9860745072364807,0.60191410779953,0.5911027789115906,0.6631203889846802,0.40717923641204834,0.37783941626548767,0.5138114094734192,2.1029202134226408e-05,1339.0493354797363
11,1,2.742299218005625,2.811660435795784,0.4760093688964844,0.4237139821052551,0.5105499625205994,0.41993650794029236,0.9837940335273743,0.9832671880722046,0.6069064140319824,0.5343711972236633,0.664840817451477,0.40575113892555237,0.13988150656223297,0.46927258372306824,6.0940889697843025e-06,1337.8694100379944
12,1,2.7456633075252994,2.8023183584213256,0.4791540503501892,0.456447035074234,0.5147976875305176,0.48220908641815186,0.9840788841247559,0.9847835898399353,0.610334038734436,0.5843423008918762,0.6421692371368408,0.4152229130268097,0.3712707757949829,0.5001734495162964,1e-06,1329.1165914535522
13,1,2.7477036334656098,2.803756132721901,0.4798995852470398,0.45768341422080994,0.5160199999809265,0.4829834997653961,0.9839859008789062,0.9854164123535156,0.6113012433052063,0.5850287675857544,0.6540588736534119,0.41469264030456543,0.36939293146133423,0.49378955364227295,6.094088969784286e-06,1329.128119468689
14,1,2.7447883611197,2.803232604265213,0.4809083342552185,0.441258043050766,0.5176092982292175,0.45829638838768005,0.9839748740196228,0.9837185740470886,0.6125702261924744,0.5650994777679443,0.6301815509796143,0.4224470555782318,0.29458048939704895,0.4859764873981476,2.1029202134226395e-05,1348.3609554767609
15,1,2.7402720881780986,2.80275282561779,0.48277154564857483,0.4614839553833008,0.5200957655906677,0.48803651332855225,0.9840735197067261,0.9859327673912048,0.6145690679550171,0.5891205072402954,0.65948086977005,0.4325822591781616,0.36310186982154846,0.4969809949398041,4.478753621261108e-05,1350.8492987155914
